id|kota|gmt|long|lat;
--------------------------------------
1|DKI Jakarta|+7|106.816666|-6.200000;
2|Bandung|+7|107.609810|-6.914744;
3|Bogor|+7|106.816635|-6.595038;
4|Yogyakarta|+7|110.370529|-7.797068;
5|Semarang|+7|110.416664|-6.966667;
6|Kebumen|+7|109.652153|-7.667370;
7|Surakarta|+7|110.824326|-7.575489;
8|Malang|+7|112.621391|-7.983908;
9|Surabaya|+7|112.768845|-7.250445;
10|Banda Aceh|+7|95.3222|5.5577;
11|Medan|+7|98.678513|3.597031;
12|Padang|+7|100.459526|-0.914518;
13|Pekanbaru|+7|101.447403|0.533505;
14|Tanjung Pinang|+7|104.466507|0.918550;
15|Jambi|+7|102.438057|-1.485183;
16|Bengkulu|+7|102.346390|-3.577847;
17|Palembang|+7|104.775429|-2.976074;
18|Pangkal Pinang|+7|106.116928|-2.131627;
19|Bandar Lampung|+7|105.266792|-5.397140;
20|Pontianak|+7|109.342506|-0.026330;
21|Palangkaraya|+7|113.913979|-2.216105;
22|Manado|+8|124.842079|1.474830;
23|Gorontalo|+8|122.446724|0.699937;
24|Palu|+8|119.904655|-0.867910;
25|Mamuju|+8|118.862106|-2.699190;
26|Makassar|+8|119.432732|-5.147665;
27|Kendari|+8|122.512978|-3.998460;
28|Banjarmasin|+8|114.594376|-3.318607;
29|Samarinda|+8|117.143616|-0.494823;
30|Tanjung Selor|+8|115.057564|-2.698440;
31|Denpasar|+8|115.212631|-8.670458;
32|Kupang|+8|123.607033|-10.177200;
33|Mataram|+8|116.100487|-8.597081;
34|Lombok|+8|116.324944|-8.650979;
35|Halmahera|+9|128.010010|1.725920;
36|Jayapura|+9|140.669006|-2.591603;
37|Ambon|+9|128.105453|-3.625530;
38|Manokwari|+9|134.062042|-0.861453;
39|Sorong|+9|131.255829|-0.876163;
